"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,921,0.657857142857143,1050,0.75,998,0.712857142857143
"DEL",200,143,0.715,190,0.95,168,0.84
"DEL_TRA",200,150,0.75,190,0.95,169,0.845
"DUP",200,160,0.8,160,0.8,146,0.73
"INV",200,160,0.8,179,0.895,180,0.9
"DINS",200,160,0.8,167,0.835,174,0.87
"FINS",200,0,0,9,0.045,0,0
"TRA",200,148,0.74,155,0.775,161,0.805
"BND",800,632,0.79,657,0.82125,693,0.86625
"INS_BND",400,322,0.805,335,0.8375,354,0.885
"TRA_BND",400,310,0.775,322,0.805,339,0.8475
