"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",17,0.11038961038961,64,0.415584415584416,65,0.422077922077922
"100",71,0.440993788819876,120,0.745341614906832,101,0.627329192546584
"500",109,0.778571428571429,97,0.692857142857143,108,0.771428571428571
"1000",93,0.738095238095238,102,0.80952380952381,96,0.761904761904762
"2000",104,0.781954887218045,108,0.81203007518797,107,0.804511278195489
"5000",92,0.73015873015873,102,0.80952380952381,101,0.801587301587302
"10000",123,0.798701298701299,129,0.837662337662338,125,0.811688311688312
"15000",103,0.817460317460317,101,0.801587301587302,99,0.785714285714286
"100000",100,0.75187969924812,104,0.781954887218045,100,0.75187969924812
"1000000",109,0.741496598639456,117,0.795918367346939,115,0.782312925170068
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",566,0.7075,647,0.80875,702,0.8775
