"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",15,13,2,0.866666666666667,0.133333333333333,68,58,0,1,0,8,18,0,1,0
"100",42,70,3,0.958904109589041,0.0714285714285714,101,119,0,1,0,42,95,0,1,0
"500",78,111,0,1,0,85,106,0,1,0,75,104,4,0.962962962962963,0.0533333333333333
"1000",83,92,1,0.989247311827957,0.0120481927710843,84,100,0,1,0,76,95,1,0.989583333333333,0.0131578947368421
"2000",83,103,0,1,0,92,109,1,0.990909090909091,0.0108695652173913,72,104,1,0.990476190476191,0.0138888888888889
"5000",79,95,0,1,0,80,102,0,1,0,72,100,3,0.970873786407767,0.0416666666666667
"10000",100,122,0,1,0,110,129,0,1,0,78,125,2,0.984251968503937,0.0256410256410256
"15000",84,99,0,1,0,87,101,0,1,0,69,95,2,0.979381443298969,0.0289855072463768
"100000",79,99,0,1,0,90,104,0,1,0,75,99,1,0.99,0.0133333333333333
"1000000",95,110,4,0.964912280701754,0.0421052631578947,100,117,2,0.983193277310924,0.02,80,113,4,0.965811965811966,0.05
">1000000",54,0,31,0,0.574074074074074,35,0,34,0,0.971428571428571,46,0,34,0,0.739130434782609
"NO_SVLEN",621,565,0,1,0,664,664,0,1,0,690,656,34,0.950724637681159,0.0492753623188406
