"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",86,77,17,0.819148936170213,0.197674418604651,86,58,18,0.763157894736842,0.209302325581395,8,18,0,1,0
"100",120,135,18,0.882352941176471,0.15,131,117,33,0.78,0.251908396946565,42,95,0,1,0
"500",94,123,0,1,0,99,100,20,0.833333333333333,0.202020202020202,75,104,4,0.962962962962963,0.0533333333333333
"1000",86,116,2,0.983050847457627,0.0232558139534884,87,100,3,0.970873786407767,0.0344827586206897,76,95,1,0.989583333333333,0.0131578947368421
"2000",88,123,0,1,0,128,109,37,0.746575342465753,0.2890625,72,104,1,0.990476190476191,0.0138888888888889
"5000",83,113,0,1,0,108,102,28,0.784615384615385,0.259259259259259,72,100,3,0.970873786407767,0.0416666666666667
"10000",106,141,0,1,0,145,129,35,0.786585365853659,0.241379310344828,78,125,2,0.984251968503937,0.0256410256410256
"15000",87,115,0,1,0,112,101,25,0.801587301587302,0.223214285714286,69,95,2,0.979381443298969,0.0289855072463768
"100000",84,117,0,1,0,117,104,27,0.793893129770992,0.230769230769231,75,99,1,0.99,0.0133333333333333
"1000000",103,131,5,0.963235294117647,0.0485436893203883,117,117,19,0.860294117647059,0.162393162393162,80,113,4,0.965811965811966,0.05
">1000000",55,0,32,0,0.581818181818182,39,0,38,0,0.974358974358974,46,0,34,0,0.739130434782609
"NO_SVLEN",767,650,4,0.99388379204893,0.00521512385919166,719,664,55,0.923504867872045,0.0764951321279555,689,656,33,0.952104499274311,0.0478955007256894
