"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,1191,0.850714285714286,1037,0.740714285714286,948,0.677142857142857
"DEL",200,188,0.94,182,0.91,163,0.815
"DEL_TRA",200,188,0.94,183,0.915,160,0.8
"DUP",200,165,0.825,165,0.825,144,0.72
"INV",200,174,0.87,182,0.91,174,0.87
"DINS",200,180,0.9,165,0.825,158,0.79
"FINS",200,137,0.685,4,0.02,0,0
"TRA",200,159,0.795,156,0.78,149,0.745
"BND",800,650,0.8125,664,0.83,656,0.82
"INS_BND",400,327,0.8175,340,0.85,334,0.835
"TRA_BND",400,323,0.8075,324,0.81,322,0.805
