"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1010,825,79,0.912610619469027,0.0782178217821782,1298,1143,40,0.966187658495351,0.0308166409861325,1259,1118,141,0.888006354249404,0.111993645750596
"DEL",156,138,18,0.884615384615385,0.115384615384615,285,268,17,0.940350877192982,0.0596491228070175,321,258,63,0.803738317757009,0.196261682242991
"DUP",59,32,27,0.542372881355932,0.457627118644068,159,143,16,0.89937106918239,0.10062893081761,158,133,25,0.841772151898734,0.158227848101266
"INV",258,133,19,0.875,0.0736434108527132,278,161,2,0.987730061349693,0.00719424460431655,164,159,5,0.969512195121951,0.0304878048780488
"INS",2,2,0,1,0,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,105,0,NA,NA,NA,120,0,NA,NA,NA,125,0,NA,NA
"BND",535,520,15,0.97196261682243,0.0280373831775701,576,571,5,0.991319444444444,0.00868055555555556,616,568,48,0.922077922077922,0.0779220779220779
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
