"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,853,0.609285714285714,1033,0.737857142857143,930,0.664285714285714
"DEL",200,125,0.625,182,0.91,157,0.785
"DEL_TRA",200,142,0.71,185,0.925,159,0.795
"DUP",200,140,0.7,161,0.805,143,0.715
"INV",200,161,0.805,181,0.905,171,0.855
"DINS",200,155,0.775,165,0.825,156,0.78
"FINS",200,1,0.005,3,0.015,0,0
"TRA",200,129,0.645,156,0.78,144,0.72
"BND",800,605,0.75625,670,0.8375,651,0.81375
"INS_BND",400,316,0.79,341,0.8525,333,0.8325
"TRA_BND",400,289,0.7225,329,0.8225,318,0.795
