"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,20,73,20
"100",161,42,102,61
"500",140,75,78,71
"1000",126,84,83,82
"2000",133,84,92,75
"5000",126,79,78,70
"10000",154,100,112,82
"15000",126,84,85,67
"100000",133,80,94,78
"1000000",147,94,99,84
">1000000",0,52,34,49
"NO_SVLEN",800,620,647,741
