"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1654,1584,1445
"DEL",400,390,389,370
"DUP",200,188,178,170
"INV",200,333,345,182
"INS",400,95,15,NA
"TRA",200,NA,NA,NA
"BND",NA,648,657,723
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
