"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",0,0,20,0.12987012987013,2,0.012987012987013
"100",19,0.118012422360248,60,0.372670807453416,48,0.298136645962733
"500",51,0.364285714285714,96,0.685714285714286,87,0.621428571428571
"1000",47,0.373015873015873,79,0.626984126984127,86,0.682539682539683
"2000",67,0.503759398496241,94,0.706766917293233,99,0.744360902255639
"5000",66,0.523809523809524,79,0.626984126984127,83,0.658730158730159
"10000",87,0.564935064935065,99,0.642857142857143,111,0.720779220779221
"15000",80,0.634920634920635,89,0.706349206349206,88,0.698412698412698
"100000",83,0.62406015037594,92,0.691729323308271,90,0.676691729323308
"1000000",77,0.523809523809524,101,0.687074829931973,106,0.72108843537415
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",525,0.65625,571,0.71375,568,0.71
