"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,921,0.657857142857143,1044,0.745714285714286,1017,0.726428571428571
"DEL",200,164,0.82,189,0.945,171,0.855
"DEL_TRA",200,169,0.845,191,0.955,174,0.87
"DUP",200,116,0.58,154,0.77,147,0.735
"INV",200,154,0.77,178,0.89,183,0.915
"DINS",200,116,0.58,165,0.825,176,0.88
"FINS",200,54,0.27,11,0.055,0,0
"TRA",200,148,0.74,156,0.78,166,0.83
"BND",800,566,0.7075,647,0.80875,702,0.8775
"INS_BND",400,260,0.65,328,0.82,357,0.8925
"TRA_BND",400,306,0.765,319,0.7975,345,0.8625
