"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,37,65,11
"100",161,87,94,32
"500",140,86,79,74
"1000",126,90,82,75
"2000",133,88,90,71
"5000",126,83,79,73
"10000",154,106,110,80
"15000",126,87,84,66
"100000",133,85,91,77
"1000000",147,98,100,79
">1000000",0,58,34,49
"NO_SVLEN",800,719,670,685
