"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1268,1027,128,0.889177489177489,0.100946372239748,1295,1139,40,0.96607294317218,0.0308880308880309,1227,1117,110,0.910350448247759,0.0896495517522412
"DEL",262,230,32,0.877862595419847,0.122137404580153,282,265,17,0.939716312056738,0.0602836879432624,302,258,44,0.854304635761589,0.145695364238411
"DUP",112,68,44,0.607142857142857,0.392857142857143,159,143,16,0.89937106918239,0.10062893081761,157,133,24,0.847133757961783,0.152866242038217
"INV",289,151,25,0.857954545454545,0.0865051903114187,278,160,2,0.987654320987654,0.00719424460431655,163,158,5,0.969325153374233,0.0306748466257669
"INS",46,41,5,0.891304347826087,0.108695652173913,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,107,0,NA,NA,NA,120,0,NA,NA,NA,125,0,NA,NA
"BND",559,537,22,0.960644007155635,0.0393559928443649,576,571,5,0.991319444444444,0.00868055555555556,605,568,37,0.938842975206612,0.0611570247933884
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
