"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",13,0.0844155844155844,58,0.376623376623377,18,0.116883116883117
"100",70,0.434782608695652,119,0.739130434782609,95,0.590062111801242
"500",111,0.792857142857143,106,0.757142857142857,104,0.742857142857143
"1000",92,0.73015873015873,100,0.793650793650794,95,0.753968253968254
"2000",103,0.774436090225564,109,0.819548872180451,104,0.781954887218045
"5000",95,0.753968253968254,102,0.80952380952381,100,0.793650793650794
"10000",122,0.792207792207792,129,0.837662337662338,125,0.811688311688312
"15000",99,0.785714285714286,101,0.801587301587302,95,0.753968253968254
"100000",99,0.744360902255639,104,0.781954887218045,99,0.744360902255639
"1000000",110,0.748299319727891,117,0.795918367346939,113,0.768707482993197
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",565,0.70625,664,0.83,656,0.82
