"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",1,1,0,1,0,76,66,2,0.970588235294118,0.0263157894736842,30,50,18,0.735294117647059,0.6
"100",39,79,0,1,0,103,120,3,0.975609756097561,0.029126213592233,56,101,4,0.961904761904762,0.0714285714285714
"500",85,111,0,1,0,83,102,2,0.980769230769231,0.0240963855421687,71,108,2,0.981818181818182,0.028169014084507
"1000",82,96,0,1,0,82,99,0,1,0,80,95,1,0.989583333333333,0.0125
"2000",83,101,0,1,0,93,109,1,0.990909090909091,0.010752688172043,72,107,1,0.990740740740741,0.0138888888888889
"5000",81,97,0,1,0,79,102,0,1,0,74,100,1,0.99009900990099,0.0135135135135135
"10000",105,127,0,1,0,111,129,0,1,0,77,125,3,0.9765625,0.038961038961039
"15000",87,98,0,1,0,85,101,0,1,0,71,98,3,0.97029702970297,0.0422535211267606
"100000",84,101,0,1,0,93,104,0,1,0,74,100,0,1,0
"1000000",98,110,2,0.982142857142857,0.0204081632653061,101,118,2,0.983333333333333,0.0198019801980198,86,114,4,0.966101694915254,0.0465116279069767
">1000000",54,0,31,0,0.574074074074074,34,0,33,0,0.970588235294118,49,0,40,0,0.816326530612245
"NO_SVLEN",633,632,1,0.998420221169036,0.00157977883096367,657,657,0,1,0,735,693,42,0.942857142857143,0.0571428571428571
