"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",37,36,5,0.878048780487805,0.135135135135135,65,56,1,0.982456140350877,0.0153846153846154,11,14,3,0.823529411764706,0.272727272727273
"100",87,120,2,0.983606557377049,0.0229885057471264,94,112,0,1,0,32,84,0,1,0
"500",86,113,0,1,0,79,100,0,1,0,74,104,2,0.981132075471698,0.027027027027027
"1000",90,105,6,0.945945945945946,0.0666666666666667,82,99,0,1,0,75,94,1,0.989473684210526,0.0133333333333333
"2000",88,119,1,0.991666666666667,0.0113636363636364,90,109,0,1,0,71,105,2,0.981308411214953,0.028169014084507
"5000",83,107,0,1,0,79,102,0,1,0,73,96,3,0.96969696969697,0.0410958904109589
"10000",106,136,0,1,0,110,128,0,1,0,80,125,4,0.968992248062015,0.05
"15000",87,110,0,1,0,84,100,0,1,0,66,97,2,0.97979797979798,0.0303030303030303
"100000",85,110,1,0.990990990990991,0.0117647058823529,91,103,0,1,0,77,99,0,1,0
"1000000",98,124,5,0.961240310077519,0.0510204081632653,100,116,2,0.983050847457627,0.02,79,112,4,0.96551724137931,0.0506329113924051
">1000000",58,0,35,0,0.603448275862069,34,0,34,0,1,49,0,36,0,0.73469387755102
"NO_SVLEN",719,642,3,0.995348837209302,0.00417246175243394,670,670,0,1,0,685,651,34,0.95036496350365,0.0496350364963504
