"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",606,469,96,0.830088495575221,0.158415841584158,519,484,12,0.975806451612903,0.023121387283237,826,719,107,0.87046004842615,0.12953995157385
"DEL",96,83,13,0.864583333333333,0.135416666666667,100,94,6,0.94,0.06,185,145,40,0.783783783783784,0.216216216216216
"DUP",24,20,4,0.833333333333333,0.166666666666667,72,67,5,0.930555555555556,0.0694444444444444,105,91,14,0.866666666666667,0.133333333333333
"INV",213,104,68,0.604651162790698,0.31924882629108,120,96,1,0.989690721649485,0.00833333333333333,148,141,7,0.952702702702703,0.0472972972972973
"INS",6,6,0,1,0,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,36,0,NA,NA,NA,19,0,NA,NA,NA,49,0,NA,NA
"BND",267,256,11,0.958801498127341,0.0411985018726592,227,227,0,1,0,388,342,46,0.881443298969072,0.118556701030928
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
