"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1600,1559,1356
"DEL",400,367,374,345
"DUP",200,169,179,163
"INV",200,309,340,172
"INS",400,113,4,NA
"TRA",200,NA,NA,NA
"BND",NA,642,662,676
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
