"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1334,1570,1385
"DEL",400,276,381,361
"DUP",200,124,179,164
"INV",200,289,341,173
"INS",400,16,7,NA
"TRA",200,NA,NA,NA
"BND",NA,629,662,687
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
