"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",0,1,0,NA,NA,2,2,0,1,0,17,1,16,0.0588235294117647,0.941176470588235
"100",0,8,0,NA,NA,10,10,0,1,0,8,13,5,0.722222222222222,0.625
"500",5,31,5,0.861111111111111,1,39,44,0,1,0,31,57,0,1,0
"1000",14,25,14,0.641025641025641,1,34,30,0,1,0,51,52,2,0.962962962962963,0.0392156862745098
"2000",25,29,23,0.557692307692308,0.92,29,31,0,1,0,56,65,4,0.942028985507246,0.0714285714285714
"5000",17,28,17,0.622222222222222,1,28,32,0,1,0,48,46,5,0.901960784313726,0.104166666666667
"10000",37,35,33,0.514705882352941,0.891891891891892,35,35,0,1,0,48,63,6,0.91304347826087,0.125
"15000",53,41,52,0.440860215053763,0.981132075471698,38,41,0,1,0,50,55,4,0.932203389830508,0.08
"100000",42,40,40,0.5,0.952380952380952,31,33,2,0.942857142857143,0.0645161290322581,52,60,3,0.952380952380952,0.0576923076923077
"1000000",50,34,47,0.419753086419753,0.94,37,39,1,0.975,0.027027027027027,56,63,8,0.887323943661972,0.142857142857143
">1000000",16,0,15,0,0.9375,9,0,9,0,1,39,0,26,0,0.666666666666667
"NO_SVLEN",249,256,220,0.53781512605042,0.883534136546185,227,227,0,1,0,395,342,53,0.865822784810127,0.134177215189873
