"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",42,34,8,0.80952380952381,0.19047619047619,63,55,1,0.982142857142857,0.0158730158730159,12,11,7,0.611111111111111,0.583333333333333
"100",62,100,4,0.961538461538462,0.0645161290322581,91,109,0,1,0,28,79,0,1,0
"500",78,112,0,1,0,79,99,0,1,0,73,103,2,0.980952380952381,0.0273972602739726
"1000",82,106,1,0.990654205607477,0.0121951219512195,82,99,0,1,0,74,94,1,0.989473684210526,0.0135135135135135
"2000",88,116,3,0.974789915966387,0.0340909090909091,89,107,0,1,0,72,104,2,0.981132075471698,0.0277777777777778
"5000",83,109,1,0.990909090909091,0.0120481927710843,79,100,0,1,0,74,93,4,0.958762886597938,0.0540540540540541
"10000",105,135,1,0.992647058823529,0.00952380952380952,108,126,0,1,0,76,125,4,0.968992248062015,0.0526315789473684
"15000",88,109,2,0.981981981981982,0.0227272727272727,86,99,0,1,0,71,94,2,0.979166666666667,0.028169014084507
"100000",82,111,0,1,0,87,101,0,1,0,74,99,1,0.99,0.0135135135135135
"1000000",99,121,10,0.923664122137405,0.101010101010101,97,114,2,0.982758620689655,0.0206185567010309,79,112,3,0.973913043478261,0.0379746835443038
">1000000",58,0,36,0,0.620689655172414,36,0,34,0,0.944444444444444,47,0,34,0,0.723404255319149
"NO_SVLEN",733,638,5,0.992223950233281,0.00682128240109141,662,660,2,0.996978851963746,0.00302114803625378,676,640,36,0.946745562130177,0.0532544378698225
