"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,1,76,30
"100",161,39,103,56
"500",140,85,83,71
"1000",126,82,82,80
"2000",133,83,93,72
"5000",126,81,79,74
"10000",154,105,111,77
"15000",126,87,85,71
"100000",133,84,93,74
"1000000",147,98,101,86
">1000000",0,54,34,49
"NO_SVLEN",800,633,657,735
