"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1413,1220,41,0.967486122125297,0.0290162774239207,1596,1388,37,0.974035087719298,0.0231829573934837,1383,1297,86,0.937816341287057,0.0621836587129429
"DEL",339,323,16,0.952802359882006,0.0471976401179941,391,373,18,0.953964194373402,0.0460358056265985,351,323,28,0.92022792022792,0.0797720797720798
"DUP",135,116,19,0.859259259259259,0.140740740740741,183,165,18,0.901639344262295,0.0983606557377049,165,144,21,0.872727272727273,0.127272727272727
"INV",309,156,1,0.993630573248408,0.00323624595469256,354,182,1,0.994535519125683,0.00282485875706215,177,174,3,0.983050847457627,0.0169491525423729
"INS",65,60,5,0.923076923076923,0.0769230769230769,4,4,0,1,0,NA,0,0,NA,NA
"TRA",NA,148,0,NA,NA,NA,156,0,NA,NA,NA,149,0,NA,NA
"BND",565,565,0,1,0,664,664,0,1,0,690,656,34,0.950724637681159,0.0492753623188406
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
