"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",1,0.00649350649350649,2,0.012987012987013,1,0.00649350649350649
"100",8,0.0496894409937888,10,0.062111801242236,13,0.0807453416149068
"500",31,0.221428571428571,44,0.314285714285714,57,0.407142857142857
"1000",25,0.198412698412698,30,0.238095238095238,52,0.412698412698413
"2000",29,0.218045112781955,31,0.233082706766917,65,0.488721804511278
"5000",28,0.222222222222222,32,0.253968253968254,46,0.365079365079365
"10000",35,0.227272727272727,35,0.227272727272727,63,0.409090909090909
"15000",41,0.325396825396825,41,0.325396825396825,55,0.436507936507937
"100000",40,0.300751879699248,33,0.24812030075188,60,0.451127819548872
"1000000",34,0.231292517006803,39,0.26530612244898,63,0.428571428571429
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",256,0.32,227,0.28375,342,0.4275
