"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,0,2,17
"100",161,0,10,8
"500",140,5,39,31
"1000",126,14,34,51
"2000",133,25,29,56
"5000",126,17,28,48
"10000",154,37,35,48
"15000",126,53,38,50
"100000",133,42,31,52
"1000000",147,50,37,56
">1000000",0,16,9,39
"NO_SVLEN",800,249,227,395
