"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,7,24,8
"100",161,15,42,7
"500",140,28,73,59
"1000",126,57,72,71
"2000",133,65,81,71
"5000",126,68,62,70
"10000",154,87,92,70
"15000",126,87,81,70
"100000",133,74,76,77
"1000000",147,75,83,71
">1000000",0,58,33,51
"NO_SVLEN",800,583,576,606
