"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",0,0,0,NA,NA,25,20,0,1,0,15,2,14,0.125,0.933333333333333
"100",5,19,0,1,0,43,60,0,1,0,11,48,5,0.905660377358491,0.454545454545455
"500",17,51,0,1,0,76,96,0,1,0,60,87,1,0.988636363636364,0.0166666666666667
"1000",40,47,3,0.94,0.075,71,79,1,0.9875,0.0140845070422535,71,86,4,0.955555555555556,0.0563380281690141
"2000",58,67,7,0.905405405405405,0.120689655172414,81,94,0,1,0,71,99,4,0.961165048543689,0.0563380281690141
"5000",57,66,4,0.942857142857143,0.0701754385964912,61,79,1,0.9875,0.0163934426229508,70,83,5,0.943181818181818,0.0714285714285714
"10000",83,87,8,0.91578947368421,0.0963855421686747,92,99,0,1,0,70,111,7,0.940677966101695,0.1
"15000",86,80,13,0.860215053763441,0.151162790697674,81,89,1,0.988888888888889,0.0123456790123457,70,88,4,0.956521739130435,0.0571428571428571
"100000",74,83,6,0.932584269662921,0.0810810810810811,76,92,0,1,0,77,90,5,0.947368421052632,0.0649350649350649
"1000000",74,77,7,0.916666666666667,0.0945945945945946,83,101,3,0.971153846153846,0.036144578313253,72,106,4,0.963636363636364,0.0555555555555556
">1000000",55,0,35,0,0.636363636363636,33,0,29,0,0.878787878787879,53,0,38,0,0.716981132075472
"NO_SVLEN",547,525,18,0.966850828729282,0.0329067641681901,576,571,5,0.991319444444444,0.00868055555555556,611,568,43,0.92962356792144,0.0703764320785597
