"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1010,1298,1259
"DEL",400,156,285,321
"DUP",200,59,159,158
"INV",200,258,278,164
"INS",400,2,0,NA
"TRA",200,NA,NA,NA
"BND",NA,535,576,616
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
