"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1790,1535,93,0.942874692874693,0.0519553072625698,1568,1363,35,0.974964234620887,0.0223214285714286,1459,1377,82,0.94379712131597,0.0562028786840302
"DEL",406,382,24,0.940886699507389,0.0591133004926108,389,372,17,0.956298200514139,0.0437017994858612,374,345,29,0.922459893048128,0.0775401069518717
"DUP",188,171,17,0.909574468085106,0.0904255319148936,172,154,18,0.895348837209302,0.104651162790698,170,147,23,0.864705882352941,0.135294117647059
"INV",344,182,0,1,0,348,178,0,1,0,186,183,3,0.983870967741935,0.0161290322580645
"INS",201,150,51,0.746268656716418,0.253731343283582,12,12,0,1,0,NA,0,0,NA,NA
"TRA",NA,160,0,NA,NA,NA,156,0,NA,NA,NA,166,0,NA,NA
"BND",651,650,1,0.998463901689708,0.00153609831029186,647,647,0,1,0,729,702,27,0.962962962962963,0.037037037037037
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
