"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1432,1597,1475
"DEL",400,310,397,386
"DUP",200,176,178,171
"INV",200,313,346,183
"INS",400,0,19,NA
"TRA",200,NA,NA,NA
"BND",NA,633,657,735
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
