"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,606,519,826
"DEL",400,96,100,185
"DUP",200,24,72,105
"INV",200,213,120,148
"INS",400,6,0,NA
"TRA",200,NA,NA,NA
"BND",NA,267,227,388
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
