"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",0,0,20,0.12987012987013,2,0.012987012987013
"100",14,0.0869565217391304,60,0.372670807453416,48,0.298136645962733
"500",44,0.314285714285714,96,0.685714285714286,87,0.621428571428571
"1000",38,0.301587301587302,79,0.626984126984127,87,0.69047619047619
"2000",45,0.338345864661654,94,0.706766917293233,99,0.744360902255639
"5000",49,0.388888888888889,80,0.634920634920635,83,0.658730158730159
"10000",87,0.564935064935065,99,0.642857142857143,111,0.720779220779221
"15000",82,0.650793650793651,89,0.706349206349206,88,0.698412698412698
"100000",81,0.609022556390977,92,0.691729323308271,90,0.676691729323308
"1000000",77,0.523809523809524,101,0.687074829931973,106,0.72108843537415
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",520,0.65,571,0.71375,568,0.71
