"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,11,25,5
"100",161,30,42,6
"500",140,32,74,60
"1000",126,62,71,71
"2000",133,73,81,71
"5000",126,73,60,70
"10000",154,89,93,70
"15000",126,88,81,70
"100000",133,75,76,77
"1000000",147,78,83,72
">1000000",0,60,33,50
"NO_SVLEN",800,597,576,605
