"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1204,1295,1231
"DEL",400,234,283,305
"DUP",200,96,159,157
"INV",200,281,277,163
"INS",400,41,0,NA
"TRA",200,NA,NA,NA
"BND",NA,552,576,606
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
