"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",36,0.233766233766234,56,0.363636363636364,14,0.0909090909090909
"100",120,0.745341614906832,112,0.695652173913043,84,0.521739130434783
"500",113,0.807142857142857,100,0.714285714285714,104,0.742857142857143
"1000",105,0.833333333333333,99,0.785714285714286,94,0.746031746031746
"2000",119,0.894736842105263,109,0.819548872180451,105,0.789473684210526
"5000",107,0.849206349206349,102,0.80952380952381,96,0.761904761904762
"10000",136,0.883116883116883,128,0.831168831168831,125,0.811688311688312
"15000",110,0.873015873015873,100,0.793650793650794,97,0.76984126984127
"100000",110,0.827067669172932,103,0.774436090225564,99,0.744360902255639
"1000000",124,0.843537414965986,116,0.789115646258503,112,0.761904761904762
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",642,0.8025,670,0.8375,651,0.81375
