"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,508,519,851
"DEL",400,62,100,201
"DUP",200,16,72,106
"INV",200,181,120,149
"INS",400,0,0,NA
"TRA",200,NA,NA,NA
"BND",NA,249,227,395
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
