"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,577,0.412142857142857,809,0.577857142857143,800,0.571428571428571
"DEL",200,84,0.42,130,0.65,130,0.65
"DEL_TRA",200,89,0.445,137,0.685,128,0.64
"DUP",200,45,0.225,143,0.715,133,0.665
"INV",200,140,0.7,161,0.805,158,0.79
"DINS",200,112,0.56,118,0.59,126,0.63
"FINS",200,4,0.02,0,0,0,0
"TRA",200,103,0.515,120,0.6,125,0.625
"BND",800,525,0.65625,571,0.71375,568,0.71
"INS_BND",400,265,0.6625,283,0.7075,282,0.705
"TRA_BND",400,260,0.65,288,0.72,286,0.715
