"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1334,1145,48,0.959765297569153,0.0359820089955022,1570,1365,42,0.970149253731343,0.0267515923566879,1385,1260,125,0.909747292418773,0.0902527075812274
"DEL",276,258,18,0.934782608695652,0.0652173913043478,381,363,18,0.952755905511811,0.047244094488189,361,309,52,0.85595567867036,0.14404432132964
"DUP",124,98,26,0.790322580645161,0.209677419354839,179,161,18,0.899441340782123,0.100558659217877,164,142,22,0.865853658536585,0.134146341463415
"INV",289,146,2,0.986486486486487,0.0069204152249135,341,178,0,1,0,173,169,4,0.976878612716763,0.023121387283237
"INS",16,16,0,1,0,7,3,4,0.428571428571429,0.571428571428571,NA,0,0,NA,NA
"TRA",NA,145,0,NA,NA,NA,152,0,NA,NA,NA,140,0,NA,NA
"BND",629,627,2,0.996820349761526,0.00317965023847377,662,660,2,0.996978851963746,0.00302114803625378,687,640,47,0.931586608442504,0.0684133915574964
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
