"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,15,68,8
"100",161,42,101,42
"500",140,78,85,75
"1000",126,83,84,76
"2000",133,83,92,72
"5000",126,79,80,72
"10000",154,100,110,78
"15000",126,84,87,69
"100000",133,79,90,75
"1000000",147,95,100,80
">1000000",0,54,35,46
"NO_SVLEN",800,621,664,690
