"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1361,1587,1391
"DEL",400,284,385,362
"DUP",200,159,179,165
"INV",200,311,348,174
"INS",400,1,5,NA
"TRA",200,NA,NA,NA
"BND",NA,606,670,690
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
