"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,670,0.478571428571429,807,0.576428571428571,801,0.572142857142857
"DEL",200,102,0.51,129,0.645,130,0.65
"DEL_TRA",200,106,0.53,137,0.685,128,0.64
"DUP",200,59,0.295,143,0.715,133,0.665
"INV",200,145,0.725,160,0.8,159,0.795
"DINS",200,113,0.565,118,0.59,126,0.63
"FINS",200,36,0.18,0,0,0,0
"TRA",200,109,0.545,120,0.6,125,0.625
"BND",800,534,0.6675,571,0.71375,568,0.71
"INS_BND",400,267,0.6675,283,0.7075,282,0.705
"TRA_BND",400,267,0.6675,288,0.72,286,0.715
