"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,0,63,22
"100",161,7,96,33
"500",140,46,85,73
"1000",126,68,82,74
"2000",133,72,89,72
"5000",126,74,80,74
"10000",154,104,107,76
"15000",126,87,86,71
"100000",133,81,87,74
"1000000",147,93,97,79
">1000000",0,57,36,50
"NO_SVLEN",800,645,662,687
