"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1361,1174,38,0.968646864686469,0.0279206465833946,1587,1383,37,0.973943661971831,0.0233144297416509,1391,1281,110,0.920920201294033,0.0790797987059669
"DEL",284,267,17,0.940140845070423,0.0598591549295775,385,367,18,0.953246753246753,0.0467532467532468,362,316,46,0.87292817679558,0.12707182320442
"DUP",159,140,19,0.880503144654088,0.119496855345912,179,161,18,0.899441340782123,0.100558659217877,165,143,22,0.866666666666667,0.133333333333333
"INV",311,161,1,0.993827160493827,0.00321543408360129,348,181,0,1,0,174,171,3,0.982758620689655,0.0172413793103448
"INS",1,1,0,1,0,5,4,1,0.8,0.2,NA,0,0,NA,NA
"TRA",NA,129,0,NA,NA,NA,156,0,NA,NA,NA,144,0,NA,NA
"BND",606,605,1,0.998349834983498,0.00165016501650165,670,670,0,1,0,690,651,39,0.943478260869565,0.0565217391304348
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
