"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",1,0.00649350649350649,66,0.428571428571429,50,0.324675324675325
"100",79,0.490683229813665,120,0.745341614906832,101,0.627329192546584
"500",111,0.792857142857143,102,0.728571428571429,108,0.771428571428571
"1000",96,0.761904761904762,99,0.785714285714286,95,0.753968253968254
"2000",101,0.759398496240602,109,0.819548872180451,107,0.804511278195489
"5000",97,0.76984126984127,102,0.80952380952381,100,0.793650793650794
"10000",127,0.824675324675325,129,0.837662337662338,125,0.811688311688312
"15000",98,0.777777777777778,101,0.801587301587302,98,0.777777777777778
"100000",101,0.759398496240602,104,0.781954887218045,100,0.75187969924812
"1000000",110,0.748299319727891,118,0.802721088435374,114,0.775510204081633
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",632,0.79,657,0.82125,693,0.86625
