"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1759,1888,1382
"DEL",400,396,473,351
"DUP",200,186,233,165
"INV",200,337,457,177
"INS",400,190,6,NA
"TRA",200,NA,NA,NA
"BND",NA,650,719,689
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
