"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1432,1245,34,0.973416731821736,0.0237430167597765,1597,1388,43,0.96995108315863,0.0269254852849092,1475,1356,119,0.919322033898305,0.0806779661016949
"DEL",310,293,17,0.945161290322581,0.0548387096774194,397,380,17,0.957178841309824,0.0428211586901763,386,337,49,0.873056994818653,0.126943005181347
"DUP",176,160,16,0.909090909090909,0.0909090909090909,178,160,18,0.898876404494382,0.101123595505618,171,146,25,0.853801169590643,0.146198830409357
"INV",313,160,0,1,0,346,179,1,0.994444444444444,0.00289017341040462,183,180,3,0.983606557377049,0.0163934426229508
"INS",0,0,0,0,NA,19,12,7,0.631578947368421,0.368421052631579,NA,0,0,NA,NA
"TRA",NA,148,0,NA,NA,NA,155,0,NA,NA,NA,161,0,NA,NA
"BND",633,632,1,0.998420221169036,0.00157977883096367,657,657,0,1,0,735,693,42,0.942857142857143,0.0571428571428571
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
