"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",10,0.0649350649350649,20,0.12987012987013,2,0.012987012987013
"100",44,0.273291925465839,59,0.366459627329193,48,0.298136645962733
"500",64,0.457142857142857,94,0.671428571428571,87,0.621428571428571
"1000",68,0.53968253968254,79,0.626984126984127,86,0.682539682539683
"2000",82,0.616541353383459,94,0.706766917293233,99,0.744360902255639
"5000",80,0.634920634920635,79,0.626984126984127,83,0.658730158730159
"10000",96,0.623376623376623,99,0.642857142857143,111,0.720779220779221
"15000",88,0.698412698412698,89,0.706349206349206,88,0.698412698412698
"100000",89,0.669172932330827,92,0.691729323308271,90,0.676691729323308
"1000000",91,0.619047619047619,101,0.687074829931973,106,0.72108843537415
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",537,0.67125,571,0.71375,568,0.71
