"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,1,2,7
"100",161,5,10,3
"500",140,13,39,31
"1000",126,28,34,51
"2000",133,36,29,56
"5000",126,41,28,48
"10000",154,41,35,48
"15000",126,53,38,50
"100000",133,45,31,52
"1000000",147,53,37,56
">1000000",0,18,9,36
"NO_SVLEN",800,272,227,388
