"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1624,1578,1372
"DEL",400,380,377,349
"DUP",200,182,179,165
"INV",200,331,347,173
"INS",400,87,5,NA
"TRA",200,NA,NA,NA
"BND",NA,644,670,685
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
