"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,1053,0.752142857142857,1009,0.720714285714286,914,0.652857142857143
"DEL",200,170,0.85,176,0.88,155,0.775
"DEL_TRA",200,177,0.885,180,0.9,154,0.77
"DUP",200,137,0.685,161,0.805,142,0.71
"INV",200,160,0.8,178,0.89,169,0.845
"DINS",200,163,0.815,160,0.8,154,0.77
"FINS",200,96,0.48,2,0.01,0,0
"TRA",200,150,0.75,152,0.76,140,0.7
"BND",800,638,0.7975,660,0.825,640,0.8
"INS_BND",400,323,0.8075,336,0.84,329,0.8225
"TRA_BND",400,315,0.7875,324,0.81,311,0.7775
