"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,1115,0.796428571428571,1042,0.744285714285714,998,0.712857142857143
"DEL",200,186,0.93,185,0.925,168,0.84
"DEL_TRA",200,184,0.92,187,0.935,169,0.845
"DUP",200,171,0.855,160,0.8,146,0.73
"INV",200,172,0.86,179,0.895,180,0.9
"DINS",200,166,0.83,167,0.835,174,0.87
"FINS",200,78,0.39,9,0.045,0,0
"TRA",200,158,0.79,155,0.775,161,0.805
"BND",800,647,0.80875,657,0.82125,693,0.86625
"INS_BND",400,326,0.815,335,0.8375,354,0.885
"TRA_BND",400,321,0.8025,322,0.805,339,0.8475
