"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1413,1596,1383
"DEL",400,339,391,351
"DUP",200,135,183,165
"INV",200,309,354,177
"INS",400,65,4,NA
"TRA",200,NA,NA,NA
"BND",NA,565,664,690
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
