"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1204,982,109,0.900091659028414,0.090531561461794,1295,1140,40,0.966101694915254,0.0308880308880309,1231,1118,113,0.908204711616572,0.0917952883834281
"DEL",234,208,26,0.888888888888889,0.111111111111111,283,266,17,0.939929328621908,0.0600706713780919,305,258,47,0.845901639344262,0.154098360655738
"DUP",96,59,37,0.614583333333333,0.385416666666667,159,143,16,0.89937106918239,0.10062893081761,157,133,24,0.847133757961783,0.152866242038217
"INV",281,145,23,0.863095238095238,0.0818505338078292,277,160,2,0.987654320987654,0.0072202166064982,163,159,4,0.975460122699387,0.0245398773006135
"INS",41,36,5,0.878048780487805,0.121951219512195,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,109,0,NA,NA,NA,120,0,NA,NA,NA,125,0,NA,NA
"BND",552,534,18,0.967391304347826,0.0326086956521739,576,571,5,0.991319444444444,0.00868055555555556,606,568,38,0.937293729372937,0.0627062706270627
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
