"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1096,887,101,0.897773279352227,0.0921532846715328,1298,1142,40,0.966159052453469,0.0308166409861325,1251,1117,134,0.892885691446842,0.107114308553157
"DEL",197,173,24,0.878172588832487,0.121827411167513,284,267,17,0.940140845070423,0.0598591549295775,318,258,60,0.811320754716981,0.188679245283019
"DUP",80,45,35,0.5625,0.4375,159,143,16,0.89937106918239,0.10062893081761,158,133,25,0.841772151898734,0.158227848101266
"INV",272,140,24,0.853658536585366,0.0882352941176471,279,161,2,0.987730061349693,0.00716845878136201,164,158,6,0.963414634146341,0.0365853658536585
"INS",4,4,0,1,0,0,0,0,0,NA,NA,0,0,NA,NA
"TRA",NA,103,0,NA,NA,NA,120,0,NA,NA,NA,125,0,NA,NA
"BND",543,525,18,0.966850828729282,0.0331491712707182,576,571,5,0.991319444444444,0.00868055555555556,611,568,43,0.92962356792144,0.0703764320785597
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
