"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",1,1,0,1,0,2,2,0,1,0,7,1,6,0.142857142857143,0.857142857142857
"100",5,8,0,1,0,10,10,0,1,0,3,13,0,1,0
"500",13,31,1,0.96875,0.0769230769230769,39,44,0,1,0,31,57,0,1,0
"1000",28,25,7,0.78125,0.25,34,30,0,1,0,51,52,2,0.962962962962963,0.0392156862745098
"2000",36,29,6,0.828571428571429,0.166666666666667,29,31,0,1,0,56,65,4,0.942028985507246,0.0714285714285714
"5000",41,28,12,0.7,0.292682926829268,28,32,0,1,0,48,46,5,0.901960784313726,0.104166666666667
"10000",41,35,8,0.813953488372093,0.195121951219512,35,35,0,1,0,48,63,6,0.91304347826087,0.125
"15000",53,41,16,0.719298245614035,0.30188679245283,38,41,0,1,0,50,55,4,0.932203389830508,0.08
"100000",45,40,8,0.833333333333333,0.177777777777778,31,33,2,0.942857142857143,0.0645161290322581,52,60,3,0.952380952380952,0.0576923076923077
"1000000",53,34,15,0.693877551020408,0.283018867924528,37,39,1,0.975,0.027027027027027,56,63,8,0.887323943661972,0.142857142857143
">1000000",18,0,12,0,0.666666666666667,9,0,9,0,1,36,0,23,0,0.638888888888889
"NO_SVLEN",272,256,11,0.958801498127341,0.0404411764705882,227,227,0,1,0,388,342,46,0.881443298969072,0.118556701030928
