"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1654,1442,51,0.965840589417281,0.0308343409915357,1584,1380,39,0.972515856236786,0.0246212121212121,1445,1356,89,0.93840830449827,0.0615916955017301
"DEL",390,370,20,0.948717948717949,0.0512820512820513,389,372,17,0.956298200514139,0.0437017994858612,370,337,33,0.910810810810811,0.0891891891891892
"DUP",188,171,17,0.909574468085106,0.0904255319148936,178,160,18,0.898876404494382,0.101123595505618,170,146,24,0.858823529411765,0.141176470588235
"INV",333,172,0,1,0,345,179,1,0.994444444444444,0.00289855072463768,182,180,2,0.989010989010989,0.010989010989011
"INS",95,82,13,0.863157894736842,0.136842105263158,15,12,3,0.8,0.2,NA,0,0,NA,NA
"TRA",NA,158,0,NA,NA,NA,155,0,NA,NA,NA,161,0,NA,NA
"BND",648,647,1,0.998456790123457,0.00154320987654321,657,657,0,1,0,723,693,30,0.95850622406639,0.04149377593361
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
