"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",0,1,0,NA,NA,65,56,1,0.982456140350877,0.0153846153846154,19,14,11,0.56,0.578947368421053
"100",33,72,0,1,0,97,114,0,1,0,37,84,5,0.943820224719101,0.135135135135135
"500",74,101,0,1,0,85,106,0,1,0,74,104,2,0.981132075471698,0.027027027027027
"1000",79,90,0,1,0,82,99,0,1,0,75,94,1,0.989473684210526,0.0133333333333333
"2000",78,92,0,1,0,90,109,0,1,0,71,105,2,0.981308411214953,0.028169014084507
"5000",77,91,0,1,0,79,102,0,1,0,73,96,3,0.96969696969697,0.0410958904109589
"10000",101,122,0,1,0,110,128,0,1,0,80,125,4,0.968992248062015,0.05
"15000",85,95,0,1,0,84,100,0,1,0,66,97,2,0.97979797979798,0.0303030303030303
"100000",80,90,1,0.989010989010989,0.0125,91,103,0,1,0,77,99,0,1,0
"1000000",91,99,3,0.970588235294118,0.032967032967033,100,116,2,0.983050847457627,0.02,79,112,4,0.96551724137931,0.0506329113924051
">1000000",56,0,33,0,0.589285714285714,34,0,34,0,1,50,0,37,0,0.74
"NO_SVLEN",607,605,1,0.998349834983498,0.00164744645799012,670,670,0,1,0,690,651,39,0.943478260869565,0.0565217391304348
