"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",0,0,0,NA,NA,24,20,0,1,0,18,2,17,0.105263157894737,0.944444444444444
"100",1,14,0,1,0,43,60,0,1,0,12,48,5,0.905660377358491,0.416666666666667
"500",11,44,0,1,0,76,96,0,1,0,59,87,1,0.988636363636364,0.0169491525423729
"1000",28,38,3,0.926829268292683,0.107142857142857,71,79,1,0.9875,0.0140845070422535,71,87,3,0.966666666666667,0.0422535211267606
"2000",35,45,2,0.957446808510638,0.0571428571428571,81,94,0,1,0,71,99,4,0.961165048543689,0.0563380281690141
"5000",36,49,2,0.96078431372549,0.0555555555555556,62,80,1,0.987654320987654,0.0161290322580645,70,83,5,0.943181818181818,0.0714285714285714
"10000",80,87,4,0.956043956043956,0.05,92,99,0,1,0,70,111,7,0.940677966101695,0.1
"15000",86,82,11,0.881720430107527,0.127906976744186,81,89,1,0.988888888888889,0.0123456790123457,70,88,4,0.956521739130435,0.0571428571428571
"100000",73,81,6,0.931034482758621,0.0821917808219178,76,92,0,1,0,77,90,5,0.947368421052632,0.0649350649350649
"1000000",71,77,4,0.950617283950617,0.0563380281690141,83,101,3,0.971153846153846,0.036144578313253,71,106,4,0.963636363636364,0.0563380281690141
">1000000",52,0,32,0,0.615384615384615,33,0,29,0,0.878787878787879,54,0,38,0,0.703703703703704
"NO_SVLEN",537,520,15,0.97196261682243,0.0279329608938547,576,571,5,0.991319444444444,0.00868055555555556,616,568,48,0.922077922077922,0.0779220779220779
