"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",41,41,4,0.911111111111111,0.0975609756097561,76,66,2,0.970588235294118,0.0263157894736842,19,50,7,0.87719298245614,0.368421052631579
"100",92,125,5,0.961538461538462,0.0543478260869565,98,118,1,0.991596638655462,0.0102040816326531,52,101,0,1,0
"500",96,117,0,1,0,75,96,0,1,0,71,108,2,0.981818181818182,0.028169014084507
"1000",85,112,0,1,0,82,99,0,1,0,80,95,1,0.989583333333333,0.0125
"2000",89,121,0,1,0,93,109,1,0.990909090909091,0.010752688172043,72,107,1,0.990740740740741,0.0138888888888889
"5000",84,109,0,1,0,79,102,0,1,0,74,100,1,0.99009900990099,0.0135135135135135
"10000",107,135,0,1,0,111,129,0,1,0,77,125,3,0.9765625,0.038961038961039
"15000",87,111,0,1,0,85,101,0,1,0,71,98,3,0.97029702970297,0.0422535211267606
"100000",86,118,0,1,0,93,104,0,1,0,74,100,0,1,0
"1000000",101,126,2,0.984375,0.0198019801980198,101,118,2,0.983333333333333,0.0198019801980198,86,114,4,0.966101694915254,0.0465116279069767
">1000000",56,0,33,0,0.589285714285714,34,0,33,0,0.970588235294118,46,0,37,0,0.804347826086957
"NO_SVLEN",730,647,7,0.989296636085627,0.00958904109589041,657,657,0,1,0,723,693,30,0.95850622406639,0.04149377593361
