"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,1080,0.771428571428571,1025,0.732142857142857,930,0.664285714285714
"DEL",200,181,0.905,177,0.885,157,0.785
"DEL_TRA",200,179,0.895,182,0.91,159,0.795
"DUP",200,154,0.77,161,0.805,143,0.715
"INV",200,170,0.85,181,0.905,171,0.855
"DINS",200,164,0.82,165,0.825,156,0.78
"FINS",200,77,0.385,3,0.015,0,0
"TRA",200,155,0.775,156,0.78,144,0.72
"BND",800,642,0.8025,670,0.8375,651,0.81375
"INS_BND",400,324,0.81,341,0.8525,333,0.8325
"TRA_BND",400,318,0.795,329,0.8225,318,0.795
