"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",0,0,55,0.357142857142857,11,0.0714285714285714
"100",42,0.260869565217391,111,0.68944099378882,79,0.490683229813665
"500",85,0.607142857142857,104,0.742857142857143,103,0.735714285714286
"1000",80,0.634920634920635,99,0.785714285714286,94,0.746031746031746
"2000",92,0.691729323308271,107,0.804511278195489,104,0.781954887218045
"5000",89,0.706349206349206,100,0.793650793650794,93,0.738095238095238
"10000",126,0.818181818181818,126,0.818181818181818,125,0.811688311688312
"15000",100,0.793650793650794,99,0.785714285714286,94,0.746031746031746
"100000",99,0.744360902255639,101,0.759398496240602,99,0.744360902255639
"1000000",105,0.714285714285714,114,0.775510204081633,112,0.761904761904762
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",627,0.78375,660,0.825,640,0.8
