"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",0,0,0,NA,NA,63,55,1,0.982142857142857,0.0158730158730159,22,11,17,0.392857142857143,0.772727272727273
"100",7,42,0,1,0,96,111,2,0.982300884955752,0.0208333333333333,33,79,5,0.94047619047619,0.151515151515152
"500",46,85,0,1,0,85,104,1,0.990476190476191,0.0117647058823529,73,103,2,0.980952380952381,0.0273972602739726
"1000",68,80,0,1,0,82,99,0,1,0,74,94,1,0.989473684210526,0.0135135135135135
"2000",72,92,1,0.989247311827957,0.0138888888888889,89,107,0,1,0,72,104,2,0.981132075471698,0.0277777777777778
"5000",74,89,1,0.988888888888889,0.0135135135135135,80,100,0,1,0,74,93,4,0.958762886597938,0.0540540540540541
"10000",104,126,1,0.992125984251969,0.00961538461538462,107,126,0,1,0,76,125,4,0.968992248062015,0.0526315789473684
"15000",87,100,1,0.99009900990099,0.0114942528735632,86,99,0,1,0,71,94,2,0.979166666666667,0.028169014084507
"100000",81,99,0,1,0,87,101,0,1,0,74,99,1,0.99,0.0135135135135135
"1000000",93,105,7,0.9375,0.0752688172043011,97,114,2,0.982758620689655,0.0206185567010309,79,112,3,0.973913043478261,0.0379746835443038
">1000000",57,0,35,0,0.614035087719298,36,0,34,0,0.944444444444444,50,0,37,0,0.74
"NO_SVLEN",645,627,2,0.996820349761526,0.00310077519379845,662,660,2,0.996978851963746,0.00302114803625378,687,640,47,0.931586608442504,0.0684133915574964
