"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,272,0.194285714285714,297,0.212142857142857,475,0.339285714285714
"DEL",200,41,0.205,46,0.23,70,0.35
"DEL_TRA",200,42,0.21,48,0.24,75,0.375
"DUP",200,20,0.1,67,0.335,91,0.455
"INV",200,104,0.52,96,0.48,141,0.705
"DINS",200,23,0.115,21,0.105,49,0.245
"FINS",200,6,0.03,0,0,0,0
"TRA",200,36,0.18,19,0.095,49,0.245
"BND",800,256,0.32,227,0.28375,342,0.4275
"INS_BND",400,123,0.3075,110,0.275,171,0.4275
"TRA_BND",400,133,0.3325,117,0.2925,171,0.4275
