"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,94,73,18
"100",161,138,99,57
"500",140,95,72,71
"1000",126,86,83,82
"2000",133,91,92,75
"5000",126,84,78,70
"10000",154,107,112,82
"15000",126,87,85,67
"100000",133,86,94,78
"1000000",147,102,99,84
">1000000",0,55,34,46
"NO_SVLEN",800,765,647,729
